date,time,subject,blocknum,trialnum,response,latency,PreScene
82416,13:11:41,1,r,1,1,883.0,1188
82416,13:11:41,1,r,2,0,1163.0,1189
82416,13:11:41,1,r,3,1,1002.0,1190
82416,13:11:41,1,r,4,1,1820.0,1187
82416,13:11:41,1,r,5,,,1190
