date,time,subject,blocknum,trialnum,response,latency,PreScene
82416,13:11:41,1,2,1,1,563.0,1107
82416,13:11:41,1,2,2,0,936.0,1100
82416,13:11:41,1,2,3,1,1318.0,1108
82416,13:11:41,1,2,4,1,1379.0,1103
82416,13:11:41,1,2,5,1,1105.0,1105
