date,time,subject,blocknum,trialnum,response,latency,PreScene
82416,13:11:41,1,3,1,0,1265.0,1122
82416,13:11:41,1,3,2,0,847.0,1115
82416,13:11:41,1,3,3,0,862.0,1114
82416,13:11:41,1,3,4,0,1039.0,1123
82416,13:11:41,1,3,5,1,849.0,1126
