date,time,subject,blocknum,trialnum,response,latency,PreScene
82416,13:11:41,1,1,1,0,572.0,1097
82416,13:11:41,1,1,2,0,1180.0,1089
82416,13:11:41,1,1,3,1,170.0,1098
82416,13:11:41,1,1,4,0,406.0,1092
82416,13:11:41,1,1,5,0,211.0,1085
